CustomerID,Age,AnnualIncome,SpendingScore,PurchaseFrequency,WebsiteVisits,Cluster
271,58,112260,13,15,6,2
272,37,23794,6,11,2,1
273,36,66984,48,14,5,0
274,33,89621,53,19,22,2
275,29,42280,23,3,20,1
276,42,101226,88,8,16,0
277,55,38758,30,15,21,1
278,34,80236,33,22,1,0
279,47,57700,87,18,6,0
280,22,77898,45,19,10,2
281,58,75615,89,9,15,1
282,37,46111,50,28,16,0
283,24,51091,49,19,12,2
284,54,58780,90,10,1,0
285,60,71879,36,1,19,1
286,21,99482,96,16,10,0
287,32,99569,46,8,21,2
288,30,101381,33,22,25,2
289,60,109241,18,21,4,2
290,58,104717,6,10,15,2
291,20,95965,47,24,5,2
292,23,58680,42,24,14,2
293,29,46318,17,26,18,2
294,41,89579,65,30,9,0
295,28,53681,62,26,10,0
296,39,35095,60,3,5,1
297,32,108647,93,22,13,0
298,53,67942,12,26,13,2
299,18,54663,69,4,15,1
300,41,108188,96,22,9,0
